,Mins,Rating,Market Value,Fee,Class
647,1890,6.82,73.65824601867558,0.0,1
648,2981,6.81,76.75681749912434,0.0,1
649,1774,6.8,74.39838462683866,0.0,1
650,2593,6.8,76.34324388048941,0.0,1
651,2142,6.8,75.27226521944363,0.0,1
652,2639,6.8,76.45247895456504,0.0,1
653,2358,6.79,76.2929956169321,0.0,1
654,2113,6.78,76.21900059814095,0.0,1
655,1711,6.78,75.26438103774097,0.0,1
656,2434,6.78,76.98127144114693,0.0,0
657,2757,6.78,77.74829163519968,0.0,1
658,2291,6.78,76.64169284130315,0.0,1
659,1560,6.78,74.90580503371012,0.0,1
660,2777,6.77,78.30358563010509,0.0,1
661,2075,6.77,76.63656341269018,0.0,1
662,2729,6.77,78.18960120498275,0.0,1
663,3240,6.76,79.91086088186921,0.0,1
664,2333,6.76,77.75703018216075,0.0,0
665,2769,6.76,78.7923887103558,0.0,1
666,2790,6.75,79.3500573807845,0.0,1
667,1694,6.74,77.25521349159436,0.0,1
668,1709,6.74,77.2908336244451,0.0,0
669,2029,6.74,78.05072979192767,0.0,1
670,3150,6.74,80.71274105364012,0.0,1
671,3140,6.73,81.196794782844,0.0,1
672,2682,6.73,80.10919339313455,0.0,1
673,3130,6.73,81.1730480276102,0.0,0
674,2842,6.73,80.48914147687583,0.0,1
675,2862,6.73,80.53663498734352,0.0,1
676,2089,6.72,79.20881129220618,0.0,1
677,1738,6.72,78.37530018349872,0.0,0
678,1800,6.72,78.52253006594844,0.0,1
679,1820,6.72,78.57002357641613,0.0,1
680,3420,6.72,82.36950441382908,0.0,1
681,1682,6.72,78.24231835418925,0.0,1
682,2483,6.71,80.6522339328568,0.0,0
683,2554,6.71,80.82083589501701,0.0,1
684,2602,6.71,80.93482032013941,0.0,1
685,3102,6.71,82.12215808183095,0.0,1
686,2032,6.7,80.0890557562488,0.0,1
687,1950,6.7,79.89433236333139,0.0,1
688,1736,6.7,79.3861518013274,0.0,1
689,3061,6.7,82.53259686980999,0.0,1
690,2243,6.7,80.5901122916826,0.0,1
691,3060,6.7,82.53022219428658,0.0,0
692,1609,6.69,79.59236849429544,0.0,0
693,1609,6.69,79.59236849429544,0.0,0
694,2697,6.69,82.17601546373623,0.0,1
695,2678,6.69,82.13089662879196,0.0,1
696,1767,6.68,80.4753677114278,0.0,1
697,2045,6.68,81.13552750692827,0.0,1
698,1995,6.68,81.0167937307591,0.0,1
699,1407,6.67,80.12828500744757,0.0,1
700,2391,6.67,82.46496572245655,0.0,1
701,3061,6.67,84.05599832312322,0.0,1
702,1739,6.67,80.91667728121075,0.0,1
703,1976,6.67,81.47947538025255,0.0,0
704,1324,6.67,79.9311869390068,0.0,1
705,1498,6.66,80.85218096451308,0.0,1
706,2797,6.66,83.93688446938773,0.0,1
707,2967,6.66,84.34057930836286,0.0,1
708,1553,6.65,81.49058860273692,0.0,1
709,1697,6.65,81.83254187810405,0.0,1
