,Player,Mins,Rating,Market Value,Fee,Class
1009,Francesco Vicari,2339,6.72,79.80248017305195,0.0,1
1010,Gian Marco Ferrari,2790,6.72,80.87345883409773,0.0,1
1011,Valon Behrami,1368,6.72,77.49667023984694,0.0,0
1012,Stefan Radu,2254,6.72,79.60063275356435,0.0,1
1013,Ibrahima Mbaye,2009,6.72,79.01883725033554,0.0,1
1014,Francesco Caputo,3420,6.71,82.8773048982668,0.0,1
1015,Marco Sportiello,3150,6.71,82.23614250695334,0.0,1
1016,Andrea Consigli,3214,6.71,82.38812174044989,0.0,1
1017,Camillo Ciano,2463,6.71,80.60474042238917,0.0,1
1018,Davide Biraschi,2844,6.7,82.01729228123583,0.0,1
1019,Lorenzo De Silvestri,2427,6.7,81.02705258798511,0.0,1
1020,Miha Zajc,1165,6.7,78.03021207747565,0.0,1
1021,João Mário,1081,6.7,77.83073933351147,0.0,1
1022,Seko Fofana,2646,6.69,82.05490701204371,0.0,1
1023,Stefano Sorrentino,2789,6.69,82.39448561188749,0.0,1
1024,Bartosz Bereszynski,2199,6.69,80.99342705309147,0.0,1
1025,Mário Rui,1419,6.69,79.14118014485268,0.0,1
1026,Gerson,2435,6.69,81.55385047660991,0.0,0
1027,Federico BernardeschiJuventus,1476,6.68,79.78433713412329,0.0,1
1028,Felipe Caicedo,1378,6.68,79.55161893283173,0.0,1
1029,Darko Lazovic,2550,6.68,82.3347386462367,0.0,0
1030,Jacopo Sala,1517,6.67,80.38949931501969,0.0,0
1031,Bram Nuytinck,2128,6.67,81.84042605980676,0.0,1
1032,Hamed Junior Traore,2269,6.67,82.17525530860382,0.0,1
1033,João Pedro,2571,6.65,83.90800828554086,0.0,1
1034,Riccardo Meggiorini,1550,6.65,81.48346457616674,0.0,1
1035,Marlon Santos,1511,6.64,81.89865271519261,0.0,1
1036,Artur Ionita,2979,6.64,85.38467638351898,0.0,1
1037,Marco D'Alessandro,1497,6.63,82.37320774230295,0.0,1
1038,Luca Ceppitelli,2054,6.63,83.69590200882732,0.0,1
1039,Emiliano Moretti,2010,6.63,83.59141628579846,0.0,0
1040,Ionut Radu,2970,6.63,85.87110478824621,0.0,0
1041,Ionut Radu,2970,6.63,85.87110478824621,0.0,0
1042,Adam Marusic,2114,6.63,83.83838254023033,0.0,1
1043,Emil Audero,3240,6.63,86.51226717955967,0.0,0
1044,Lorenzo Ariaudo,1684,6.62,83.32507254961331,0.0,1
1045,Antonino Barillà,2623,6.62,85.55489286607002,0.0,1
1046,Edoardo Goldaniga,2610,6.62,85.52402208426605,0.0,1
1047,Ignazio Abate,1306,6.62,82.4274452017745,0.0,0
1048,Rogerio,2670,6.61,86.17430310010678,0.0,1
1049,Paolo Faragò,1697,6.61,83.863743815855,0.0,1
1050,Blerim Dzemaili,1750,6.61,83.98960161859429,0.0,1
1051,Alex Berenguer,1479,6.6,83.85386503619526,0.0,1
1052,Luca Siligardi,1645,6.6,84.24806117307685,0.0,1
1053,Andrea Masiello,1842,6.6,84.71587225118333,0.0,1
1054,Raffaele Maiello,2046,6.59,85.70810654239119,0.0,1
1055,Pasquale Schiattarella,1843,6.59,85.22604741114446,0.0,0
1056,Andrea Poli,1947,6.58,85.980814150014,0.0,1
1057,Keita,884,6.58,83.45653406865779,0.0,1
1058,Mehdi Léris,1613,6.58,85.18767252520405,0.0,1
1059,Andrea Pinamonti,1622,6.57,85.71684508935215,0.0,1
1060,Mario Pasalic,1619,6.57,85.70972106278202,0.0,1
1061,Luca Rossettini,1822,6.57,86.19178019402881,0.0,0
1062,Filip Helander,1712,6.56,86.43836637089441,0.0,0
1063,Simone Iacoponi,3350,6.56,90.32808487819591,0.0,1
1064,Kevin Lasagna,2451,6.55,88.70105206711224,0.0,1
1065,Fabio Pisacane,2266,6.55,88.26173709528638,0.0,1
1066,Jens Stryger Larsen,3236,6.54,91.0729728374057,0.0,1
1067,Alessandro Bastoni,1686,6.54,87.39222577616192,0.0,1
1068,Juan Jesus,1400,6.53,87.2208690609121,0.0,1
1069,Daniel Bessa,2444,6.53,89.70003030732403,0.0,1
1070,Filippo gna,1473,6.52,87.9020208585568,0.0,1
1071,Pawel Jaroszynski,1350,6.52,87.60993576918071,0.0,1
1072,Edimilson Fernandes,1975,6.5,90.1097089401706,0.0,0
1073,Daniel Ciofani,1631,6.5,89.29282056012681,0.0,1
1074,Matteo Scozzarella,1469,6.5,88.90812312533876,0.0,1
1075,Sergio Floccari,975,6.49,88.24283390122514,0.0,2
1076,Bastos,1137,6.49,88.62753133601319,0.0,2
1077,Francesco Magnanelli,1859,6.49,90.34204706389579,0.0,2
1078,Simone Zaza,1424,6.48,89.81686369566188,0.0,0
1079,Fabio Depaoli,2468,6.48,92.29602494207381,0.0,2
1080,Goran Pandev,1122,6.47,89.60751217203796,0.0,2
1081,Borja Valero,1227,6.46,90.3646535864309,0.0,2
1082,Domenico Maietta,1719,6.44,92.54859491281087,0.0,2
1083,Etrit Berisha,1620,6.43,92.82130252043368,0.0,2
1084,Marko Pjaca,746,6.43,90.74583611299687,0.0,2
1085,Sasa Lukic,982,6.43,91.30625953651531,0.0,2
1086,Kevin Mirallas,1300,6.42,92.56920683738883,0.0,0
1087,Esteban Rolón,1043,6.42,91.9589152278794,0.0,2
1088,Sergio Pellissier,954,6.41,92.255369590736,0.0,2
1089,Simone Padoin,1914,6.41,94.5350580931838,0.0,0
1090,Perparim Hetemaj,2161,6.41,95.1216029474594,0.0,2
1091,Mattia Valoti,1227,6.41,92.90365600861958,0.0,0
1092,Mirco Antenucci,2126,6.4,95.54628978857863,0.0,0
1093,Bryan Dabo,822,6.4,92.44971290608709,0.0,2
1094,Ladislav Krejci,1063,6.39,93.5298101916602,0.0,2
1095,Antonio Candreva,493,6.38,92.68404562776959,0.0,2
1096,Pedro Pereira,1379,6.36,95.80360911036246,0.0,2
1097,Francesco Cassata,1130,6.36,95.21231490504005,0.0,2
1098,Manuel Pasqual,1339,6.36,95.70862208942714,0.0,2
1099,Sofian Kiyine,809,6.34,95.46564503090957,0.0,2
1100,Marcello Gazzola,915,6.32,96.73296160526365,0.0,2
1101,Patrick Cutrone,1438,6.31,98.48271738843073,0.0,0
1102,Musa Barrow,592,6.3,96.98154238008635,0.0,2
1103,Nicola Rigoni,1958,6.3,100.22534914502762,0.0,2
1104,Frederic Veseli,2537,6.29,102.10808675750417,0.0,2
1105,Francesco Zampano,2104,6.28,101.58765274031703,0.0,2
1106,Alessandro Matri,596,6.23,100.54564447324401,0.0,2
1107,Jakub Jankto,949,6.15,105.44630880850008,0.0,0
1108,Flavien Tait,2995,7.3,51.90783921900288,0.0,0
1109,Allan Saint-Maximin,2914,7.21,56.28569486154845,0.0,0
1110,Max-Alain Gradel,3240,7.14,60.61444247323544,0.0,1
1111,Lucas Ocampos,2715,7.14,59.36773782345932,0.0,0
1112,Ruben Aguilar,2531,7.13,59.438598011594536,0.0,0
1113,Youssouf Kone,1711,7.13,57.49136408242043,0.0,1
1114,Mathieu Debuchy,1948,7.12,58.561962665899955,0.0,1
1115,Kenny LalaStrasbourg,3060,7.11,61.71040233233964,0.0,1
1116,Hiroki Sakai,2373,7.09,61.094601216650915,0.0,1
1117,Christophe Herelle,2938,7.07,63.4518938562378,0.0,1
1118,Thiago Silva,2079,7.06,61.919848066089514,0.0,1
1119,Nicolas Pallois,2160,7.04,63.127797752359015,0.0,1
1120,Gaetan Laborde,2916,7.04,64.92305244803663,0.0,1
1121,Renaud Ripart,3009,7.03,65.65169775614896,0.0,1
1122,Dani Alves,1625,7.02,62.872947316224554,0.0,0
1123,Marcus Thuram,2583,7.0,66.16348743650093,0.0,1
1124,Ellyes Skhiri,3092,7.0,67.37219727790296,0.0,0
1125,Tanguy Ndombele,2693,6.99,66.93250222851077,0.0,1
1126,Ismaila Sarr,2795,6.99,67.17471913189587,0.0,1
1127,Pablo MartinezStrasbourg,2818,6.98,67.7371371533714,0.0,1
1128,Yunis Abdelhamid,3420,6.97,69.67449230288582,0.0,1
1129,Frederic Guilbert,2917,6.97,68.4800305146241,0.0,1
1130,Ole Selnaes,1674,6.97,65.52830883905892,0.0,1
1131,Bouna Sarr,2244,6.96,67.38967437182504,0.0,1
1132,Loic Perrin,2702,6.96,68.47727576153449,0.0,1
1133,Cheikh N'Doye,2336,6.96,67.60814451997624,0.0,1
1134,Jonas MartinStrasbourg,2061,6.96,66.95510875104594,0.0,1
1135,Moussa Dembele,2017,6.95,67.3584235124548,0.0,1
1136,Fode Ballo-Toure,1595,6.94,66.86411092602486,0.0,1
1137,Alexander Djiku,2755,6.94,69.61873453314922,0.0,1
